Fitness: 171237, Laufzeit: 0:00:02 Pop: 10, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 7, RoundsPolygon: 2 Dissmissed: 1
Fitness: 156529, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 176555, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 7, RoundsPolygon: 2 Dissmissed: 1
Fitness: 165232, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 174415, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 7, Gen: 4 RoundsFind: 11, RoundsPolygon: 1 Dissmissed: 1
Fitness: 180938, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 9, RoundsPolygon: 2 Dissmissed: 1
Fitness: 159450, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 7, RoundsPolygon: 2 Dissmissed: 1
Fitness: 141607, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 170305, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 7, RoundsPolygon: 2 Dissmissed: 1
Fitness: 147339, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 7, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 176609, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 12, RoundsPolygon: 3 Dissmissed: 1
Fitness: 170255, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 9, RoundsPolygon: 3 Dissmissed: 1
Fitness: 177941, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 10, RoundsPolygon: 3 Dissmissed: 1
Fitness: 180489, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 12, RoundsPolygon: 3 Dissmissed: 1
Fitness: 173359, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 7, Gen: 4 RoundsFind: 11, RoundsPolygon: 2 Dissmissed: 1
