Fitness: 184953, Laufzeit: 0:00:04 Pop: 10, Wi: 6, Mu: 3, Me: 3, Gen: 4 RoundsFind: 23, RoundsPolygon: 10 Dissmissed: 1
Fitness: 176841, Laufzeit: 0:00:02 Pop: 10, Wi: 6, Mu: 1, Me: 7, Gen: 4 RoundsFind: 19, RoundsPolygon: 10 Dissmissed: 1
Fitness: 180791, Laufzeit: 0:00:03 Pop: 10, Wi: 6, Mu: 1, Me: 5, Gen: 4 RoundsFind: 20, RoundsPolygon: 9 Dissmissed: 1
Fitness: 185074, Laufzeit: 0:00:04 Pop: 10, Wi: 6, Mu: 1, Me: 3, Gen: 4 RoundsFind: 20, RoundsPolygon: 9 Dissmissed: 1
Fitness: 165090, Laufzeit: 0:00:04 Pop: 10, Wi: 6, Mu: 1, Me: 1, Gen: 4 RoundsFind: 24, RoundsPolygon: 11 Dissmissed: 1
Fitness: 181380, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 5, Me: 3, Gen: 4 RoundsFind: 30, RoundsPolygon: 15 Dissmissed: 1
Fitness: 166529, Laufzeit: 0:00:09 Pop: 10, Wi: 10, Mu: 7, Me: 1, Gen: 4 RoundsFind: 42, RoundsPolygon: 15 Dissmissed: 1
Fitness: 181296, Laufzeit: 0:00:04 Pop: 10, Wi: 10, Mu: 3, Me: 5, Gen: 4 RoundsFind: 28, RoundsPolygon: 12 Dissmissed: 1
Fitness: 167255, Laufzeit: 0:00:07 Pop: 10, Wi: 10, Mu: 5, Me: 1, Gen: 4 RoundsFind: 38, RoundsPolygon: 15 Dissmissed: 1
Fitness: 180573, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 3, Me: 3, Gen: 4 RoundsFind: 28, RoundsPolygon: 14 Dissmissed: 1
Fitness: 174804, Laufzeit: 0:00:03 Pop: 10, Wi: 10, Mu: 1, Me: 7, Gen: 4 RoundsFind: 25, RoundsPolygon: 14 Dissmissed: 1
Fitness: 183771, Laufzeit: 0:00:04 Pop: 10, Wi: 10, Mu: 1, Me: 5, Gen: 4 RoundsFind: 25, RoundsPolygon: 13 Dissmissed: 1
Fitness: 173409, Laufzeit: 0:00:09 Pop: 10, Wi: 10, Mu: 3, Me: 1, Gen: 4 RoundsFind: 34, RoundsPolygon: 16 Dissmissed: 1
Fitness: 184028, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 1, Me: 3, Gen: 4 RoundsFind: 29, RoundsPolygon: 15 Dissmissed: 1
Fitness: 173631, Laufzeit: 0:00:07 Pop: 10, Wi: 10, Mu: 1, Me: 1, Gen: 4 RoundsFind: 33, RoundsPolygon: 15 Dissmissed: 1
Fitness: 183845, Laufzeit: 0:00:07 Pop: 10, Wi: 20, Mu: 5, Me: 3, Gen: 4 RoundsFind: 42, RoundsPolygon: 28 Dissmissed: 1
Fitness: 160832, Laufzeit: 0:00:11 Pop: 10, Wi: 20, Mu: 7, Me: 1, Gen: 4 RoundsFind: 55, RoundsPolygon: 29 Dissmissed: 1
Fitness: 183540, Laufzeit: 0:00:05 Pop: 10, Wi: 20, Mu: 3, Me: 5, Gen: 4 RoundsFind: 39, RoundsPolygon: 26 Dissmissed: 1
Fitness: 165345, Laufzeit: 0:00:12 Pop: 10, Wi: 20, Mu: 5, Me: 1, Gen: 4 RoundsFind: 58, RoundsPolygon: 30 Dissmissed: 1
Fitness: 184567, Laufzeit: 0:00:07 Pop: 10, Wi: 20, Mu: 3, Me: 3, Gen: 4 RoundsFind: 43, RoundsPolygon: 27 Dissmissed: 1
Fitness: 175596, Laufzeit: 0:00:05 Pop: 10, Wi: 20, Mu: 1, Me: 7, Gen: 4 RoundsFind: 34, RoundsPolygon: 28 Dissmissed: 1
Fitness: 181282, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 1, Me: 5, Gen: 4 RoundsFind: 38, RoundsPolygon: 27 Dissmissed: 1
Fitness: 168281, Laufzeit: 0:00:11 Pop: 10, Wi: 20, Mu: 3, Me: 1, Gen: 4 RoundsFind: 56, RoundsPolygon: 29 Dissmissed: 1
Fitness: 186051, Laufzeit: 0:00:08 Pop: 10, Wi: 20, Mu: 1, Me: 3, Gen: 4 RoundsFind: 44, RoundsPolygon: 28 Dissmissed: 1
Fitness: 171927, Laufzeit: 0:00:11 Pop: 10, Wi: 20, Mu: 1, Me: 1, Gen: 4 RoundsFind: 53, RoundsPolygon: 31 Dissmissed: 1
Fitness: 163314, Laufzeit: 0:00:18 Pop: 10, Wi: 50, Mu: 7, Me: 1, Gen: 4 RoundsFind: 95, RoundsPolygon: 73 Dissmissed: 1
Fitness: 182598, Laufzeit: 0:00:16 Pop: 10, Wi: 50, Mu: 5, Me: 3, Gen: 4 RoundsFind: 79, RoundsPolygon: 74 Dissmissed: 1
Fitness: 180425, Laufzeit: 0:00:12 Pop: 10, Wi: 50, Mu: 3, Me: 5, Gen: 4 RoundsFind: 70, RoundsPolygon: 69 Dissmissed: 1
Fitness: 168519, Laufzeit: 0:00:21 Pop: 10, Wi: 50, Mu: 5, Me: 1, Gen: 4 RoundsFind: 118, RoundsPolygon: 62 Dissmissed: 1
Fitness: 185810, Laufzeit: 0:00:15 Pop: 10, Wi: 50, Mu: 3, Me: 3, Gen: 4 RoundsFind: 84, RoundsPolygon: 70 Dissmissed: 1
Fitness: 171140, Laufzeit: 0:00:11 Pop: 10, Wi: 50, Mu: 1, Me: 7, Gen: 4 RoundsFind: 82, RoundsPolygon: 66 Dissmissed: 1
Fitness: 185732, Laufzeit: 0:00:13 Pop: 10, Wi: 50, Mu: 1, Me: 5, Gen: 4 RoundsFind: 80, RoundsPolygon: 72 Dissmissed: 1
