Fitness: 183766, Laufzeit: 0:00:02 Pop: 10, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 7, RoundsPolygon: 2 Dissmissed: 1
Fitness: 166600, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 167221, Laufzeit: 0:00:02 Pop: 10, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 2 Dissmissed: 1
Fitness: 165634, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 2 Dissmissed: 1
Fitness: 167894, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 4, RoundsPolygon: 2 Dissmissed: 1
Fitness: 166581, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 2 Dissmissed: 1
Fitness: 157661, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 1
Fitness: 149361, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 182258, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 13, RoundsPolygon: 3 Dissmissed: 1
Fitness: 167381, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 10, RoundsPolygon: 3 Dissmissed: 1
Fitness: 174525, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 14, RoundsPolygon: 3 Dissmissed: 1
Fitness: 172916, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 13, RoundsPolygon: 2 Dissmissed: 1
Fitness: 163582, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 3 Dissmissed: 1
Fitness: 175983, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 11, RoundsPolygon: 3 Dissmissed: 1
Fitness: 164415, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 1
Fitness: 180789, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 13, RoundsPolygon: 3 Dissmissed: 1
Fitness: 166530, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 1, Me: 1, Gen: 4 RoundsFind: 14, RoundsPolygon: 6 Dissmissed: 1
Fitness: 166073, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 3, Me: 1, Gen: 4 RoundsFind: 18, RoundsPolygon: 6 Dissmissed: 1
Fitness: 175184, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 1, Me: 5, Gen: 4 RoundsFind: 16, RoundsPolygon: 5 Dissmissed: 1
Fitness: 181086, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 1, Me: 3, Gen: 4 RoundsFind: 19, RoundsPolygon: 5 Dissmissed: 1
Fitness: 166641, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 5, Me: 1, Gen: 4 RoundsFind: 14, RoundsPolygon: 6 Dissmissed: 1
Fitness: 172275, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 3, Me: 3, Gen: 4 RoundsFind: 16, RoundsPolygon: 5 Dissmissed: 1
Fitness: 173584, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 3, Me: 5, Gen: 4 RoundsFind: 16, RoundsPolygon: 5 Dissmissed: 1
