Fitness: 176191, Laufzeit: 0:00:02 Pop: 10, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 7, RoundsPolygon: 2 Dissmissed: 1
Fitness: 132957, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 7, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 153540, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 5, RoundsPolygon: 2 Dissmissed: 1
Fitness: 173299, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 10, RoundsPolygon: 2 Dissmissed: 1
Fitness: 167795, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 9, RoundsPolygon: 2 Dissmissed: 1
Fitness: 168293, Laufzeit: 0:00:00 Pop: 10, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 175355, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 1
Fitness: 158422, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 7, Gen: 4 RoundsFind: 8, RoundsPolygon: 1 Dissmissed: 1
Fitness: 166857, Laufzeit: 0:00:01 Pop: 10, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 9, RoundsPolygon: 1 Dissmissed: 1
Fitness: 163707, Laufzeit: 0:00:00 Pop: 10, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 172116, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 12, RoundsPolygon: 3 Dissmissed: 1
Fitness: 147065, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 7, Me: 1, Gen: 4 RoundsFind: 6, RoundsPolygon: 3 Dissmissed: 1
Fitness: 162264, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 9, RoundsPolygon: 3 Dissmissed: 1
Fitness: 178037, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 13, RoundsPolygon: 3 Dissmissed: 1
Fitness: 173771, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 12, RoundsPolygon: 2 Dissmissed: 1
Fitness: 175676, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 10, RoundsPolygon: 3 Dissmissed: 1
Fitness: 168608, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 3 Dissmissed: 1
Fitness: 178945, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 7, Gen: 4 RoundsFind: 12, RoundsPolygon: 3 Dissmissed: 1
Fitness: 179795, Laufzeit: 0:00:01 Pop: 10, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 12, RoundsPolygon: 3 Dissmissed: 1
Fitness: 157831, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 7, Me: 1, Gen: 4 RoundsFind: 15, RoundsPolygon: 6 Dissmissed: 1
Fitness: 165048, Laufzeit: 0:00:02 Pop: 10, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 1
Fitness: 168876, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 5, Me: 1, Gen: 4 RoundsFind: 15, RoundsPolygon: 6 Dissmissed: 1
Fitness: 176801, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 3, Me: 5, Gen: 4 RoundsFind: 15, RoundsPolygon: 6 Dissmissed: 1
Fitness: 169233, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 5, Me: 3, Gen: 4 RoundsFind: 19, RoundsPolygon: 5 Dissmissed: 1
Fitness: 175872, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 1, Me: 7, Gen: 4 RoundsFind: 14, RoundsPolygon: 5 Dissmissed: 1
Fitness: 165475, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 3, Me: 1, Gen: 4 RoundsFind: 13, RoundsPolygon: 6 Dissmissed: 1
Fitness: 182038, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 3, Me: 3, Gen: 4 RoundsFind: 18, RoundsPolygon: 5 Dissmissed: 1
Fitness: 178023, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 1, Me: 5, Gen: 4 RoundsFind: 14, RoundsPolygon: 5 Dissmissed: 1
Fitness: 166531, Laufzeit: 0:00:02 Pop: 10, Wi: 3, Mu: 1, Me: 1, Gen: 4 RoundsFind: 12, RoundsPolygon: 6 Dissmissed: 1
Fitness: 181226, Laufzeit: 0:00:03 Pop: 10, Wi: 3, Mu: 1, Me: 3, Gen: 4 RoundsFind: 17, RoundsPolygon: 5 Dissmissed: 1
Fitness: 155425, Laufzeit: 0:00:03 Pop: 10, Wi: 6, Mu: 7, Me: 1, Gen: 4 RoundsFind: 26, RoundsPolygon: 10 Dissmissed: 1
Fitness: 181412, Laufzeit: 0:00:04 Pop: 10, Wi: 6, Mu: 5, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 9 Dissmissed: 1
Fitness: 171761, Laufzeit: 0:00:06 Pop: 10, Wi: 6, Mu: 5, Me: 1, Gen: 4 RoundsFind: 27, RoundsPolygon: 11 Dissmissed: 1
Fitness: 174396, Laufzeit: 0:00:03 Pop: 10, Wi: 6, Mu: 3, Me: 5, Gen: 4 RoundsFind: 20, RoundsPolygon: 9 Dissmissed: 1
Fitness: 183891, Laufzeit: 0:00:04 Pop: 10, Wi: 6, Mu: 3, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 10 Dissmissed: 1
Fitness: 177729, Laufzeit: 0:00:03 Pop: 10, Wi: 6, Mu: 1, Me: 7, Gen: 4 RoundsFind: 19, RoundsPolygon: 8 Dissmissed: 1
Fitness: 159322, Laufzeit: 0:00:06 Pop: 10, Wi: 6, Mu: 3, Me: 1, Gen: 4 RoundsFind: 25, RoundsPolygon: 10 Dissmissed: 1
Fitness: 183931, Laufzeit: 0:00:03 Pop: 10, Wi: 6, Mu: 1, Me: 5, Gen: 4 RoundsFind: 19, RoundsPolygon: 10 Dissmissed: 1
Fitness: 183290, Laufzeit: 0:00:04 Pop: 10, Wi: 6, Mu: 1, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 9 Dissmissed: 1
Fitness: 164271, Laufzeit: 0:00:06 Pop: 10, Wi: 6, Mu: 1, Me: 1, Gen: 4 RoundsFind: 25, RoundsPolygon: 10 Dissmissed: 1
Fitness: 182168, Laufzeit: 0:00:04 Pop: 10, Wi: 10, Mu: 5, Me: 3, Gen: 4 RoundsFind: 28, RoundsPolygon: 15 Dissmissed: 1
Fitness: 163280, Laufzeit: 0:00:07 Pop: 10, Wi: 10, Mu: 7, Me: 1, Gen: 4 RoundsFind: 36, RoundsPolygon: 15 Dissmissed: 1
Fitness: 177782, Laufzeit: 0:00:04 Pop: 10, Wi: 10, Mu: 3, Me: 5, Gen: 4 RoundsFind: 25, RoundsPolygon: 14 Dissmissed: 1
Fitness: 186050, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 3, Me: 3, Gen: 4 RoundsFind: 29, RoundsPolygon: 15 Dissmissed: 1
Fitness: 170907, Laufzeit: 0:00:09 Pop: 10, Wi: 10, Mu: 5, Me: 1, Gen: 4 RoundsFind: 39, RoundsPolygon: 15 Dissmissed: 1
Fitness: 175719, Laufzeit: 0:00:03 Pop: 10, Wi: 10, Mu: 1, Me: 7, Gen: 4 RoundsFind: 24, RoundsPolygon: 14 Dissmissed: 1
Fitness: 174096, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 3, Me: 1, Gen: 4 RoundsFind: 35, RoundsPolygon: 16 Dissmissed: 1
Fitness: 182318, Laufzeit: 0:00:04 Pop: 10, Wi: 10, Mu: 1, Me: 5, Gen: 4 RoundsFind: 22, RoundsPolygon: 17 Dissmissed: 1
Fitness: 182920, Laufzeit: 0:00:06 Pop: 10, Wi: 10, Mu: 1, Me: 3, Gen: 4 RoundsFind: 27, RoundsPolygon: 14 Dissmissed: 1
Fitness: 170619, Laufzeit: 0:00:08 Pop: 10, Wi: 10, Mu: 1, Me: 1, Gen: 4 RoundsFind: 35, RoundsPolygon: 15 Dissmissed: 1
Fitness: 162151, Laufzeit: 0:00:11 Pop: 10, Wi: 20, Mu: 7, Me: 1, Gen: 4 RoundsFind: 62, RoundsPolygon: 27 Dissmissed: 1
Fitness: 184028, Laufzeit: 0:00:08 Pop: 10, Wi: 20, Mu: 5, Me: 3, Gen: 4 RoundsFind: 41, RoundsPolygon: 29 Dissmissed: 1
Fitness: 182351, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 3, Me: 5, Gen: 4 RoundsFind: 37, RoundsPolygon: 30 Dissmissed: 1
Fitness: 169404, Laufzeit: 0:00:11 Pop: 10, Wi: 20, Mu: 5, Me: 1, Gen: 4 RoundsFind: 61, RoundsPolygon: 31 Dissmissed: 1
Fitness: 185122, Laufzeit: 0:00:07 Pop: 10, Wi: 20, Mu: 3, Me: 3, Gen: 4 RoundsFind: 42, RoundsPolygon: 29 Dissmissed: 1
Fitness: 176594, Laufzeit: 0:00:05 Pop: 10, Wi: 20, Mu: 1, Me: 7, Gen: 4 RoundsFind: 38, RoundsPolygon: 28 Dissmissed: 1
Fitness: 186021, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 1, Me: 5, Gen: 4 RoundsFind: 41, RoundsPolygon: 28 Dissmissed: 1
Fitness: 171224, Laufzeit: 0:00:16 Pop: 10, Wi: 20, Mu: 3, Me: 1, Gen: 4 RoundsFind: 59, RoundsPolygon: 30 Dissmissed: 1
Fitness: 183352, Laufzeit: 0:00:08 Pop: 10, Wi: 20, Mu: 1, Me: 3, Gen: 4 RoundsFind: 43, RoundsPolygon: 28 Dissmissed: 1
