Fitness: 182776, Laufzeit: 0:00:03 Pop: 10, Wi: 10, Mu: 3, Me: 5, Gen: 4 RoundsFind: 22, RoundsPolygon: 16 Dissmissed: 10
Fitness: 184991, Laufzeit: 0:00:03 Pop: 10, Wi: 10, Mu: 3, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 14 Dissmissed: 10
Fitness: 173295, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 3, Me: 1, Gen: 4 RoundsFind: 31, RoundsPolygon: 14 Dissmissed: 10
Fitness: 171663, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 5, Me: 1, Gen: 4 RoundsFind: 33, RoundsPolygon: 13 Dissmissed: 10
Fitness: 180178, Laufzeit: 0:00:03 Pop: 10, Wi: 10, Mu: 5, Me: 3, Gen: 4 RoundsFind: 21, RoundsPolygon: 15 Dissmissed: 10
Fitness: 179817, Laufzeit: 0:00:10 Pop: 10, Wi: 20, Mu: 1, Me: 1, Gen: 4 RoundsFind: 50, RoundsPolygon: 29 Dissmissed: 10
Fitness: 185720, Laufzeit: 0:00:05 Pop: 10, Wi: 20, Mu: 1, Me: 5, Gen: 4 RoundsFind: 34, RoundsPolygon: 25 Dissmissed: 10
Fitness: 185005, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 1, Me: 3, Gen: 4 RoundsFind: 38, RoundsPolygon: 25 Dissmissed: 10
Fitness: 182836, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 3, Me: 5, Gen: 4 RoundsFind: 37, RoundsPolygon: 31 Dissmissed: 10
Fitness: 183490, Laufzeit: 0:00:07 Pop: 10, Wi: 20, Mu: 3, Me: 3, Gen: 4 RoundsFind: 40, RoundsPolygon: 29 Dissmissed: 10
Fitness: 171839, Laufzeit: 0:00:09 Pop: 10, Wi: 20, Mu: 3, Me: 1, Gen: 4 RoundsFind: 48, RoundsPolygon: 29 Dissmissed: 10
Fitness: 173046, Laufzeit: 0:00:09 Pop: 10, Wi: 20, Mu: 5, Me: 1, Gen: 4 RoundsFind: 52, RoundsPolygon: 27 Dissmissed: 10
Fitness: 180806, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 5, Me: 3, Gen: 4 RoundsFind: 37, RoundsPolygon: 29 Dissmissed: 10
Fitness: 175224, Laufzeit: 0:00:17 Pop: 10, Wi: 50, Mu: 1, Me: 1, Gen: 4 RoundsFind: 94, RoundsPolygon: 60 Dissmissed: 10
Fitness: 185331, Laufzeit: 0:00:11 Pop: 10, Wi: 50, Mu: 1, Me: 5, Gen: 4 RoundsFind: 75, RoundsPolygon: 65 Dissmissed: 10
Fitness: 185293, Laufzeit: 0:00:14 Pop: 10, Wi: 50, Mu: 1, Me: 3, Gen: 4 RoundsFind: 86, RoundsPolygon: 74 Dissmissed: 10
Fitness: 177457, Laufzeit: 0:00:11 Pop: 10, Wi: 50, Mu: 3, Me: 5, Gen: 4 RoundsFind: 69, RoundsPolygon: 74 Dissmissed: 10
Fitness: 188898, Laufzeit: 0:00:13 Pop: 10, Wi: 50, Mu: 3, Me: 3, Gen: 4 RoundsFind: 85, RoundsPolygon: 69 Dissmissed: 10
Fitness: 176519, Laufzeit: 0:00:18 Pop: 10, Wi: 50, Mu: 3, Me: 1, Gen: 4 RoundsFind: 94, RoundsPolygon: 76 Dissmissed: 10
Fitness: 180328, Laufzeit: 0:00:14 Pop: 10, Wi: 50, Mu: 5, Me: 3, Gen: 4 RoundsFind: 80, RoundsPolygon: 73 Dissmissed: 10
