10
rauschgeschmissen: 1364/1631 möglichen Regeln
25 verschiedene Tags.
Fitness: 199001, Laufzeit: 0:36:10 Pop: 500, Wi: 100, Mu: 1, Me: 5, Gen: 4
Fitness: 199206, Laufzeit: 0:36:26 Pop: 500, Wi: 100, Mu: 3, Me: 1, Gen: 4
Fitness: 200076, Laufzeit: 0:32:43 Pop: 500, Wi: 100, Mu: 3, Me: 3, Gen: 4
Fitness: 200052, Laufzeit: 2:57:34 Pop: 350, Wi: 500, Mu: 5, Me: 3, Gen: 4
Fitness: 198319, Laufzeit: 0:30:22 Pop: 500, Wi: 100, Mu: 5, Me: 1, Gen: 4
Fitness: 200778, Laufzeit: 0:51:00 Pop: 500, Wi: 100, Mu: 3, Me: 5, Gen: 4
Fitness: 198608, Laufzeit: 0:26:34 Pop: 500, Wi: 100, Mu: 5, Me: 3, Gen: 4
Fitness: 200631, Laufzeit: 0:30:55 Pop: 500, Wi: 100, Mu: 5, Me: 5, Gen: 4
Fitness: 199654, Laufzeit: 4:00:36 Pop: 500, Wi: 350, Mu: 1, Me: 1, Gen: 4
Fitness: 199739, Laufzeit: 4:45:06 Pop: 500, Wi: 350, Mu: 1, Me: 3, Gen: 4
Fitness: 200379, Laufzeit: 4:37:51 Pop: 500, Wi: 350, Mu: 1, Me: 5, Gen: 4
Fitness: 198870, Laufzeit: 5:40:38 Pop: 500, Wi: 350, Mu: 3, Me: 3, Gen: 4
Fitness: 199735, Laufzeit: 7:44:22 Pop: 500, Wi: 350, Mu: 3, Me: 5, Gen: 4
Fitness: 199994, Laufzeit: 12:39:21 Pop: 500, Wi: 350, Mu: 3, Me: 1, Gen: 4
Fitness: 199665, Laufzeit: 8:00:14 Pop: 500, Wi: 350, Mu: 5, Me: 1, Gen: 4
Fitness: 198970, Laufzeit: 10:55:03 Pop: 500, Wi: 350, Mu: 5, Me: 5, Gen: 4
Fitness: 199697, Laufzeit: 18:12:56 Pop: 500, Wi: 350, Mu: 5, Me: 3, Gen: 4
