Fitness: 169740, Laufzeit: 0:00:07 Pop: 10, Wi: 10, Mu: 3, Me: 1, Gen: 4 RoundsFind: 30, RoundsPolygon: 14 Dissmissed: 1
Fitness: 177739, Laufzeit: 0:00:03 Pop: 10, Wi: 10, Mu: 3, Me: 5, Gen: 4 RoundsFind: 23, RoundsPolygon: 15 Dissmissed: 1
Fitness: 184269, Laufzeit: 0:00:05 Pop: 10, Wi: 10, Mu: 3, Me: 3, Gen: 4 RoundsFind: 28, RoundsPolygon: 14 Dissmissed: 1
Fitness: 183866, Laufzeit: 0:00:04 Pop: 10, Wi: 10, Mu: 5, Me: 3, Gen: 4 RoundsFind: 25, RoundsPolygon: 16 Dissmissed: 1
Fitness: 164884, Laufzeit: 0:00:07 Pop: 10, Wi: 10, Mu: 5, Me: 1, Gen: 4 RoundsFind: 40, RoundsPolygon: 14 Dissmissed: 1
Fitness: 170075, Laufzeit: 0:00:11 Pop: 10, Wi: 20, Mu: 1, Me: 1, Gen: 4 RoundsFind: 57, RoundsPolygon: 28 Dissmissed: 1
Fitness: 186822, Laufzeit: 0:00:08 Pop: 10, Wi: 20, Mu: 1, Me: 3, Gen: 4 RoundsFind: 41, RoundsPolygon: 28 Dissmissed: 1
Fitness: 185246, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 1, Me: 5, Gen: 4 RoundsFind: 39, RoundsPolygon: 28 Dissmissed: 1
Fitness: 184460, Laufzeit: 0:00:06 Pop: 10, Wi: 20, Mu: 3, Me: 5, Gen: 4 RoundsFind: 34, RoundsPolygon: 28 Dissmissed: 1
Fitness: 186476, Laufzeit: 0:00:07 Pop: 10, Wi: 20, Mu: 3, Me: 3, Gen: 4 RoundsFind: 39, RoundsPolygon: 31 Dissmissed: 1
Fitness: 173701, Laufzeit: 0:00:10 Pop: 10, Wi: 20, Mu: 3, Me: 1, Gen: 4 RoundsFind: 53, RoundsPolygon: 26 Dissmissed: 1
Fitness: 183035, Laufzeit: 0:00:07 Pop: 10, Wi: 20, Mu: 5, Me: 3, Gen: 4 RoundsFind: 38, RoundsPolygon: 28 Dissmissed: 1
Fitness: 166208, Laufzeit: 0:00:11 Pop: 10, Wi: 20, Mu: 5, Me: 1, Gen: 4 RoundsFind: 54, RoundsPolygon: 28 Dissmissed: 1
Fitness: 184986, Laufzeit: 0:00:14 Pop: 10, Wi: 50, Mu: 1, Me: 3, Gen: 4 RoundsFind: 76, RoundsPolygon: 62 Dissmissed: 1
Fitness: 186199, Laufzeit: 0:00:13 Pop: 10, Wi: 50, Mu: 1, Me: 5, Gen: 4 RoundsFind: 75, RoundsPolygon: 80 Dissmissed: 1
Fitness: 165149, Laufzeit: 0:00:24 Pop: 10, Wi: 50, Mu: 1, Me: 1, Gen: 4 RoundsFind: 99, RoundsPolygon: 70 Dissmissed: 1
Fitness: 177444, Laufzeit: 0:00:13 Pop: 10, Wi: 50, Mu: 3, Me: 5, Gen: 4 RoundsFind: 79, RoundsPolygon: 78 Dissmissed: 1
Fitness: 184969, Laufzeit: 0:00:14 Pop: 10, Wi: 50, Mu: 3, Me: 3, Gen: 4 RoundsFind: 82, RoundsPolygon: 71 Dissmissed: 1
Fitness: 165282, Laufzeit: 0:00:21 Pop: 10, Wi: 50, Mu: 3, Me: 1, Gen: 4 RoundsFind: 106, RoundsPolygon: 62 Dissmissed: 1
Fitness: 179586, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 182102, Laufzeit: 0:00:14 Pop: 10, Wi: 50, Mu: 5, Me: 3, Gen: 4 RoundsFind: 76, RoundsPolygon: 65 Dissmissed: 1
Fitness: 168083, Laufzeit: 0:00:19 Pop: 10, Wi: 50, Mu: 5, Me: 1, Gen: 4 RoundsFind: 94, RoundsPolygon: 62 Dissmissed: 1
Fitness: 180012, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 188812, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 171204, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 178534, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 183652, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 168390, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 179927, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 179554, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 5, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 181320, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 3 Dissmissed: 1
Fitness: 184968, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 3 Dissmissed: 1
Fitness: 190581, Laufzeit: 0:00:05 Pop: 30, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 1
Fitness: 178897, Laufzeit: 0:00:05 Pop: 30, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 4 Dissmissed: 1
Fitness: 190723, Laufzeit: 0:00:05 Pop: 30, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 1
Fitness: 177479, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 4, RoundsPolygon: 4 Dissmissed: 1
Fitness: 188965, Laufzeit: 0:00:06 Pop: 30, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 9, RoundsPolygon: 3 Dissmissed: 1
Fitness: 180392, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 4 Dissmissed: 1
Fitness: 191195, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 5, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 1
Fitness: 180499, Laufzeit: 0:00:07 Pop: 30, Wi: 3, Mu: 1, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 6 Dissmissed: 1
Fitness: 177192, Laufzeit: 0:00:06 Pop: 30, Wi: 3, Mu: 3, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 6 Dissmissed: 1
Fitness: 190804, Laufzeit: 0:00:10 Pop: 30, Wi: 3, Mu: 1, Me: 3, Gen: 4 RoundsFind: 14, RoundsPolygon: 6 Dissmissed: 1
Fitness: 191270, Laufzeit: 0:00:11 Pop: 30, Wi: 3, Mu: 1, Me: 5, Gen: 4 RoundsFind: 19, RoundsPolygon: 5 Dissmissed: 1
Fitness: 178273, Laufzeit: 0:00:07 Pop: 30, Wi: 3, Mu: 5, Me: 1, Gen: 4 RoundsFind: 8, RoundsPolygon: 7 Dissmissed: 1
Fitness: 187626, Laufzeit: 0:00:07 Pop: 30, Wi: 3, Mu: 3, Me: 5, Gen: 4 RoundsFind: 16, RoundsPolygon: 6 Dissmissed: 1
Fitness: 185306, Laufzeit: 0:00:14 Pop: 30, Wi: 3, Mu: 3, Me: 3, Gen: 4 RoundsFind: 16, RoundsPolygon: 6 Dissmissed: 1
Fitness: 186289, Laufzeit: 0:00:08 Pop: 30, Wi: 3, Mu: 5, Me: 3, Gen: 4 RoundsFind: 14, RoundsPolygon: 6 Dissmissed: 1
Fitness: 189542, Laufzeit: 0:00:15 Pop: 30, Wi: 3, Mu: 5, Me: 5, Gen: 4 RoundsFind: 22, RoundsPolygon: 5 Dissmissed: 1
Fitness: 190747, Laufzeit: 0:00:12 Pop: 30, Wi: 6, Mu: 1, Me: 1, Gen: 4 RoundsFind: 18, RoundsPolygon: 11 Dissmissed: 1
Fitness: 193582, Laufzeit: 0:00:22 Pop: 30, Wi: 6, Mu: 1, Me: 3, Gen: 4 RoundsFind: 25, RoundsPolygon: 11 Dissmissed: 1
Fitness: 187466, Laufzeit: 0:00:14 Pop: 30, Wi: 6, Mu: 3, Me: 1, Gen: 4 RoundsFind: 15, RoundsPolygon: 10 Dissmissed: 1
Fitness: 188052, Laufzeit: 0:00:17 Pop: 30, Wi: 6, Mu: 1, Me: 5, Gen: 4 RoundsFind: 22, RoundsPolygon: 11 Dissmissed: 1
Fitness: 180196, Laufzeit: 0:00:12 Pop: 30, Wi: 6, Mu: 3, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 9 Dissmissed: 1
Fitness: 182989, Laufzeit: 0:00:14 Pop: 30, Wi: 6, Mu: 5, Me: 1, Gen: 4 RoundsFind: 16, RoundsPolygon: 11 Dissmissed: 1
Fitness: 182821, Laufzeit: 0:00:16 Pop: 30, Wi: 6, Mu: 3, Me: 5, Gen: 4 RoundsFind: 21, RoundsPolygon: 9 Dissmissed: 1
Fitness: 182270, Laufzeit: 0:00:13 Pop: 30, Wi: 6, Mu: 5, Me: 3, Gen: 4 RoundsFind: 25, RoundsPolygon: 11 Dissmissed: 1
Fitness: 186568, Laufzeit: 0:00:15 Pop: 30, Wi: 6, Mu: 5, Me: 5, Gen: 4 RoundsFind: 23, RoundsPolygon: 10 Dissmissed: 1
Fitness: 188267, Laufzeit: 0:00:17 Pop: 30, Wi: 10, Mu: 1, Me: 1, Gen: 4 RoundsFind: 27, RoundsPolygon: 16 Dissmissed: 1
Fitness: 190295, Laufzeit: 0:00:21 Pop: 30, Wi: 10, Mu: 1, Me: 5, Gen: 4 RoundsFind: 30, RoundsPolygon: 17 Dissmissed: 1
Fitness: 188701, Laufzeit: 0:00:30 Pop: 30, Wi: 10, Mu: 1, Me: 3, Gen: 4 RoundsFind: 33, RoundsPolygon: 16 Dissmissed: 1
Fitness: 179077, Laufzeit: 0:00:18 Pop: 30, Wi: 10, Mu: 3, Me: 1, Gen: 4 RoundsFind: 25, RoundsPolygon: 15 Dissmissed: 1
Fitness: 183377, Laufzeit: 0:00:21 Pop: 30, Wi: 10, Mu: 5, Me: 1, Gen: 4 RoundsFind: 29, RoundsPolygon: 17 Dissmissed: 1
Fitness: 181394, Laufzeit: 0:00:22 Pop: 30, Wi: 10, Mu: 3, Me: 3, Gen: 4 RoundsFind: 36, RoundsPolygon: 15 Dissmissed: 1
Fitness: 184708, Laufzeit: 0:00:22 Pop: 30, Wi: 10, Mu: 3, Me: 5, Gen: 4 RoundsFind: 29, RoundsPolygon: 15 Dissmissed: 1
Fitness: 180706, Laufzeit: 0:00:25 Pop: 30, Wi: 10, Mu: 5, Me: 3, Gen: 4 RoundsFind: 33, RoundsPolygon: 15 Dissmissed: 1
Fitness: 182022, Laufzeit: 0:00:29 Pop: 30, Wi: 10, Mu: 5, Me: 5, Gen: 4 RoundsFind: 31, RoundsPolygon: 14 Dissmissed: 1
Fitness: 190061, Laufzeit: 0:00:42 Pop: 30, Wi: 20, Mu: 1, Me: 1, Gen: 4 RoundsFind: 65, RoundsPolygon: 29 Dissmissed: 1
Fitness: 188898, Laufzeit: 0:00:34 Pop: 30, Wi: 20, Mu: 1, Me: 3, Gen: 4 RoundsFind: 52, RoundsPolygon: 27 Dissmissed: 1
