Fitness: 165920, Laufzeit: 0:03:00 Pop: 100, Wi: 100, Mu: 1, Me: 1
Fitness: 166321, Laufzeit: 0:02:40 Pop: 100, Wi: 100, Mu: 1, Me: 3
Fitness: 166531, Laufzeit: 0:02:02 Pop: 100, Wi: 100, Mu: 1, Me: 5
Fitness: 165939, Laufzeit: 0:04:20 Pop: 100, Wi: 100, Mu: 3, Me: 1
Fitness: 166531, Laufzeit: 0:03:00 Pop: 100, Wi: 100, Mu: 3, Me: 3
Fitness: 166321, Laufzeit: 0:02:48 Pop: 100, Wi: 100, Mu: 3, Me: 5
Fitness: 166091, Laufzeit: 0:03:45 Pop: 100, Wi: 100, Mu: 5, Me: 1
Fitness: 166531, Laufzeit: 0:03:32 Pop: 100, Wi: 100, Mu: 5, Me: 3
Fitness: 165880, Laufzeit: 0:04:20 Pop: 100, Wi: 200, Mu: 1, Me: 1
Fitness: 166321, Laufzeit: 0:03:17 Pop: 100, Wi: 200, Mu: 1, Me: 3
Fitness: 166531, Laufzeit: 0:02:45 Pop: 100, Wi: 200, Mu: 1, Me: 5
Fitness: 166127, Laufzeit: 0:05:01 Pop: 100, Wi: 200, Mu: 3, Me: 1
Fitness: 166531, Laufzeit: 0:06:27 Pop: 100, Wi: 200, Mu: 3, Me: 3
Fitness: 166531, Laufzeit: 0:03:16 Pop: 100, Wi: 200, Mu: 3, Me: 5
Fitness: 166096, Laufzeit: 0:06:25 Pop: 100, Wi: 200, Mu: 5, Me: 1
Fitness: 166531, Laufzeit: 0:06:37 Pop: 100, Wi: 200, Mu: 5, Me: 3
Fitness: 166321, Laufzeit: 0:08:32 Pop: 100, Wi: 350, Mu: 1, Me: 1
Fitness: 166531, Laufzeit: 0:04:34 Pop: 100, Wi: 350, Mu: 1, Me: 3
Fitness: 166531, Laufzeit: 0:04:03 Pop: 100, Wi: 350, Mu: 1, Me: 5
Fitness: 166127, Laufzeit: 0:07:48 Pop: 100, Wi: 350, Mu: 3, Me: 1
Fitness: 166531, Laufzeit: 0:05:00 Pop: 100, Wi: 350, Mu: 3, Me: 3
Fitness: 166531, Laufzeit: 0:04:18 Pop: 100, Wi: 350, Mu: 3, Me: 5
Fitness: 166338, Laufzeit: 0:07:53 Pop: 100, Wi: 350, Mu: 5, Me: 1
Fitness: 166531, Laufzeit: 0:05:13 Pop: 100, Wi: 350, Mu: 5, Me: 3
Fitness: 166321, Laufzeit: 0:07:07 Pop: 200, Wi: 100, Mu: 1, Me: 1
Fitness: 166321, Laufzeit: 0:03:01 Pop: 200, Wi: 100, Mu: 1, Me: 3
Fitness: 166531, Laufzeit: 0:02:13 Pop: 200, Wi: 100, Mu: 1, Me: 5
Fitness: 166338, Laufzeit: 0:05:29 Pop: 200, Wi: 100, Mu: 3, Me: 1
Fitness: 166531, Laufzeit: 0:03:59 Pop: 200, Wi: 100, Mu: 3, Me: 3
Fitness: 166531, Laufzeit: 0:02:16 Pop: 200, Wi: 100, Mu: 3, Me: 5
Fitness: 166321, Laufzeit: 0:06:15 Pop: 200, Wi: 100, Mu: 5, Me: 1
Fitness: 166338, Laufzeit: 0:05:25 Pop: 200, Wi: 100, Mu: 5, Me: 3
Fitness: 166321, Laufzeit: 0:08:23 Pop: 200, Wi: 200, Mu: 1, Me: 1
Fitness: 166531, Laufzeit: 0:06:57 Pop: 200, Wi: 200, Mu: 1, Me: 3
Fitness: 166531, Laufzeit: 0:04:17 Pop: 200, Wi: 200, Mu: 1, Me: 5
Fitness: 166531, Laufzeit: 0:12:11 Pop: 200, Wi: 200, Mu: 3, Me: 1
Fitness: 166531, Laufzeit: 0:05:00 Pop: 200, Wi: 200, Mu: 3, Me: 3
Fitness: 166531, Laufzeit: 0:04:07 Pop: 200, Wi: 200, Mu: 3, Me: 5
Fitness: 166321, Laufzeit: 0:14:45 Pop: 200, Wi: 200, Mu: 5, Me: 1
Fitness: 166338, Laufzeit: 0:05:52 Pop: 200, Wi: 200, Mu: 5, Me: 3
Fitness: 166531, Laufzeit: 0:12:32 Pop: 200, Wi: 350, Mu: 1, Me: 1
Fitness: 166531, Laufzeit: 0:07:37 Pop: 200, Wi: 350, Mu: 1, Me: 3
Fitness: 166531, Laufzeit: 0:06:37 Pop: 200, Wi: 350, Mu: 1, Me: 5
Fitness: 166321, Laufzeit: 0:13:07 Pop: 200, Wi: 350, Mu: 3, Me: 1
Fitness: 166338, Laufzeit: 0:07:35 Pop: 200, Wi: 350, Mu: 3, Me: 3
Fitness: 166531, Laufzeit: 0:06:42 Pop: 200, Wi: 350, Mu: 3, Me: 5
Fitness: 166321, Laufzeit: 0:11:10 Pop: 200, Wi: 350, Mu: 5, Me: 1
Fitness: 166338, Laufzeit: 0:08:27 Pop: 200, Wi: 350, Mu: 5, Me: 3
Fitness: 166531, Laufzeit: 0:07:39 Pop: 350, Wi: 100, Mu: 1, Me: 1
Fitness: 166321, Laufzeit: 0:03:54 Pop: 350, Wi: 100, Mu: 1, Me: 3
Fitness: 166531, Laufzeit: 0:03:31 Pop: 350, Wi: 100, Mu: 1, Me: 5
Fitness: 166321, Laufzeit: 0:07:54 Pop: 350, Wi: 100, Mu: 3, Me: 1
Fitness: 166338, Laufzeit: 0:03:53 Pop: 350, Wi: 100, Mu: 3, Me: 3
Fitness: 166321, Laufzeit: 0:03:35 Pop: 350, Wi: 100, Mu: 3, Me: 5
Fitness: 166321, Laufzeit: 0:08:50 Pop: 350, Wi: 100, Mu: 5, Me: 1
Fitness: 166321, Laufzeit: 0:03:51 Pop: 350, Wi: 100, Mu: 5, Me: 3
Fitness: 166531, Laufzeit: 0:15:59 Pop: 350, Wi: 200, Mu: 1, Me: 1
Fitness: 166321, Laufzeit: 0:06:27 Pop: 350, Wi: 200, Mu: 1, Me: 3
