smoking 	- smoking
dog_waste 	- dog waste
cellphone 	- cellphone
access:dog 	- access for dogs
food 		- food
swimming 	- swimming
access:motorvehicles - access for motorvehicles
noise 		- noise
open_fire 	- open fire
access:car 	- access for cars
fishing 	- fishing
littering 	- littering
wheelchair 	- wheelchair
